Journal,SJR_2024
Ca-A Cancer Journal for Clinicians,145.004
MMWR Recommendations and Reports,41.754
Nature Reviews Drug Discovery,30.506
Nature Reviews Clinical Oncology,28.675
Nature Reviews Cancer,24.378
New England Journal of Medicine,19.076
Annals of Oncology,19.072
Cancer Cell,19.027
World Psychiatry,18.419
Nature Medicine,18.333
Nature Reviews Disease Primers,17.995
Nature Reviews Immunology,17.458
Annual Review of Immunology,16.428
Nature Reviews Genetics,16.364
MMWR Surveillance Summaries,15.326
Nature Reviews Methods Primers,15.026
Nature Reviews Microbiology,13.861
The Lancet Diabetes and Endocrinology,12.19
Annual Review of Pathology: Mechanisms of Disease,12.185
Physiological Reviews,12.167
Immunity,12.163
The Lancet,12.113
Nature Cancer,11.941
The Lancet Neurology,11.729
MMWR supplements,11.672
The Lancet Gastroenterology and Hepatology,11.398
The Lancet Oncology,11.319
Journal of Clinical Oncology,11.205
Kidney International Supplements,10.788
Nature Reviews Cardiology,10.662
Journal of Hepatology,10.575
Nature Immunology,10.39
Journal of Hematology and Oncology,10.192
Nature Biomedical Engineering,10.105
Nature Reviews Gastroenterology and Hepatology,9.911
Morbidity and Mortality Weekly Report,9.559
Molecular Cancer,9.263
Endocrine Reviews,9.175
Journal of the American College of Cardiology,9.015
Gut,8.874
Circulation,8.668
European Urology,8.529
The Lancet Public Health,8.408
JAMA Oncology,8.377
Annual Review of Public Health,8.291
Science Immunology,8.22
Annual Review of Clinical Psychology,8.021
Journal of Thoracic Oncology,7.948
Nature Reviews Endocrinology,7.884
Nature Metabolism,7.529
The Lancet Psychiatry,7.458
Nature Reviews Nephrology,7.309
Cancer Discovery,7.283
Gastroenterology,7.195
Nature Aging,7.081
Neuro-Oncology,6.974
Nature Microbiology,6.893
The Lancet Digital Health,6.838
Annual Review of Medicine,6.794
The Lancet Respiratory Medicine,6.788
Science Translational Medicine,6.722
Clinical Psychology Review,6.617
Diabetes Care,6.566
Cancer Communications,6.403
The Lancet Planetary Health,6.386
JAMA Neurology,6.237
Chem,6.01
JAMA Cardiology,5.936
Cellular and Molecular Immunology,5.916
The Lancet Global Health,5.87
Progress in Retinal and Eye Research,5.838
Journal of Experimental Medicine,5.834
Nature Reviews Neurology,5.828
Blood,5.823
JAMA Psychiatry,5.755
Annals of the Rheumatic Diseases,5.731
Journal of the National Cancer Institute,5.703
Reports on Progress in Physics,5.666
National Center for Health Statistics Data Brief,5.63
Clinical Microbiology Reviews,5.594
European Journal of Heart Failure,5.559
Hepatology,5.557
JNCCN Journal of the National Comprehensive Cancer Network,5.514
Nature Reviews Rheumatology,5.507
Molecular Neurodegeneration,5.488
The Lancet Infectious Diseases,5.446
Accounts of Chemical Research,5.433
JACC: Cardiovascular Imaging,5.426
Protein and Cell,5.392
Human Reproduction Update,5.357
JAMA,5.352
GigaScience,5.314
Drug Resistance Updates,5.282
American Journal of Psychiatry,5.27
The Lancet Microbe,5.262
JACC: Heart Failure,5.218
The Lancet Healthy Longevity,5.166
Blood Cancer Journal,5.139
JAMA Pediatrics,5.085
Genome Medicine,5.078
American Journal of Respiratory and Critical Care Medicine,5.076
Intensive Care Medicine,4.999
European Heart Journal,4.987
Cell Systems,4.943
The Lancet Haematology,4.936
Psychotherapy and Psychosomatics,4.904
Circulation Research,4.897
Health Psychology Review,4.838
EMBO Journal,4.821
Clinical Cancer Research,4.8
Molecular Systems Biology,4.783
Trends in Cancer,4.727
British Journal of Sports Medicine,4.724
Journal of Clinical Investigation,4.721
Brain,4.72
Protein Science,4.657
JAMA Internal Medicine,4.623
Ophthalmology,4.552
American Journal of Human Genetics,4.531
Journal of Extracellular Vesicles,4.524
The Lancet HIV,4.506
Annual Review of Microbiology,4.505
European Respiratory Journal,4.502
Implementation Science,4.491
Acta Neuropathologica,4.483
Health Affairs,4.465
Annual Review of Nutrition,4.435
Blood Cancer Discovery,4.316
The Lancet Child and Adolescent Health,4.289
Annual Review of Genomics and Human Genetics,4.28
PLoS Medicine,4.279
Journal for ImmunoTherapy of Cancer,4.22
Sleep Medicine Reviews,4.209
Military Medical Research,4.206
Cancer Treatment Reviews,4.183
npj Digital Medicine,4.164
Kidney International,4.13
JAMA Surgery,4.125
Microbiome,4.117
Nature Cardiovascular Research,4.096
The Lancet Regional Health - Europe,4.088
Bone Research,4.048
Molecular Psychiatry,4.022
Molecular Therapy,4.008
Experimental and Molecular Medicine,4.001
Annual Review of Phytopathology,3.984
"Genomics, Proteomics and Bioinformatics",3.964
Annual Review of Cancer Biology,3.955
Cardiovascular Research,3.947
Journal of Allergy and Clinical Immunology,3.935
Genome Research,3.909
Trends in Immunology,3.895
Sports Medicine,3.887
Cancer Research,3.879
Radiology,3.856
Translational Neurodegeneration,3.85
The Lancet Rheumatology,3.837
Endocrine Pathology,3.832
Med,3.815
Pharmacology and Therapeutics,3.8
Arthritis and Rheumatology,3.784
Advanced Science,3.775
JACC: CardioOncology,3.768
Journal of the American Society of Nephrology,3.749
Annals of Neurology,3.736
Environmental Science and Technology,3.69
Clinical and Molecular Hepatology,3.635
eClinicalMedicine,3.633
Allergy: European Journal of Allergy and Clinical Immunology,3.622
Diabetologia,3.617
Diabetes Technology and Therapeutics,3.609
Gut Microbes,3.609
Alzheimer's and Dementia,3.6
eBioMedicine,3.591
ESMO Open,3.582
National Health Statistics Reports,3.555
JAMA Network Open,3.546
Metabolism: Clinical and Experimental,3.529
JACC: Cardiovascular Interventions,3.527
JHEP Reports,3.525
Clinical Gastroenterology and Hepatology,3.509
Trends in Endocrinology and Metabolism,3.485
Leukemia,3.458
International Journal of Transgender Health,3.422
European Urology Oncology,3.419
Seminars in Immunology,3.417
Circulation: Arrhythmia and Electrophysiology,3.416
"Journal of Cachexia, Sarcopenia and Muscle",3.416
FEMS Microbiology Reviews,3.408
"Journal of Neurology, Neurosurgery and Psychiatry",3.379
eLife,3.379
Annals of Internal Medicine,3.378
Theranostics,3.37
npj Precision Oncology,3.37
Drugs,3.362
Journal of Cell Biology,3.359
Cardiovascular Diabetology,3.353
Journal of Experimental and Clinical Cancer Research,3.328
Small,3.301
Immunological Reviews,3.298
Biomarker Research,3.296
Medical Image Analysis,3.289
Revista Espanola de Cardiologia (English edition),3.267
European Journal of Epidemiology,3.241
Journal of Internal Medicine,3.223
American Psychologist,3.2
Journal of Sport and Health Science,3.197
Human Reproduction Open,3.19
Journal of Biomedical Science,3.172
Annual Review of Biomedical Engineering,3.168
Microbiology and Molecular Biology Reviews,3.165
Clinical Reviews in Allergy and Immunology,3.163
EuroIntervention,3.16
Trends in Microbiology,3.152
Journal of Clinical Epidemiology,3.149
Mucosal Immunology,3.148
British Journal of Cancer,3.144
Cold Spring Harbor Perspectives in Medicine,3.141
Radiology: Artificial Intelligence,3.128
American Journal of Clinical Dermatology,3.104
"Trauma, Violence, and Abuse",3.093
Experimental Hematology and Oncology,3.092
American Journal of Hematology,3.076
Cellular and Molecular Gastroenterology and Hepatology,3.069
Europace,3.057
Health systems in transition,3.055
Current Obesity Reports,3.044
Journal of Prevention of Alzheimer's Disease,3.04
Circulation: Cardiovascular Interventions,3.039
Circulation: Heart Failure,3.037
Clinical and Translational Medicine,3.03
JACC: Clinical Electrophysiology,3.027
American Journal of Kidney Diseases,3.024
Neurology: Neuroimmunology and NeuroInflammation,3.008
BMJ Mental Health,3.005
European Respiratory Review,3.005
Journal of the American Academy of Child and Adolescent Psychiatry,3.005
Obesity Reviews,3.005
Clinical Infectious Diseases,2.992
Journal of Crohn's and Colitis,2.991
Journal of Child Psychology and Psychiatry and Allied Disciplines,2.988
Movement Disorders,2.988
BMJ,2.976
npj Breast Cancer,2.968
Nano Today,2.962
"Vital and Health Statistics, Series 2: Data Evaluation and Methods Research",2.958
Cancer,2.947
Molecular Aspects of Medicine,2.947
Seminars in Immunopathology,2.945
Neuropsychopharmacology,2.944
Developmental Review,2.92
JCI Insight,2.917
npj Parkinson's Disease,2.914
Interdisciplinary Medicine,2.903
Blood Advances,2.901
Alimentary Pharmacology and Therapeutics,2.892
Biochimica et Biophysica Acta - Reviews on Cancer,2.885
Cytokine and Growth Factor Reviews,2.877
Child Development Perspectives,2.875
BMC Medicine,2.846
Autoimmunity Reviews,2.844
JAMA Dermatology,2.839
Basic Research in Cardiology,2.834
Current Environmental Health Reports,2.833
Autism in Adulthood,2.832
Hypertension,2.788
Annual Review of Physical Chemistry,2.779
Liver Cancer,2.779
Cell Death and Disease,2.773
American Journal of Obstetrics and Gynecology,2.772
Cancer Letters,2.756
Anaesthesia,2.751
Milbank Quarterly,2.745
Clinical Microbiology and Infection,2.742
Current Opinion in Immunology,2.74
Critical Care,2.738
Multivariate Behavioral Research,2.711
Alzheimer's Research and Therapy,2.709
Journal of Stroke,2.702
mAbs,2.699
The Lancet Regional Health - Americas,2.698
International Journal of Epidemiology,2.695
European Journal of Cancer,2.691
Genetics in Medicine,2.683
Brain Stimulation,2.666
Investigative Radiology,2.666
Stroke,2.659
JAMA Health Forum,2.653
Child and Adolescent Mental Health,2.613
Nature Mental Health,2.613
Cancer and Metastasis Reviews,2.596
Annals of Surgery,2.593
Advances in Nutrition,2.591
Acta Neuropathologica Communications,2.588
Alcohol Research: Current Reviews,2.582
Environmental Health Perspectives,2.572
OncoImmunology,2.542
The Lancet Regional Health - Western Pacific,2.534
"Arteriosclerosis, Thrombosis, and Vascular Biology",2.532
Journal of Health and Social Behavior,2.519
European Heart Journal - Quality of Care and Clinical Outcomes,2.507
Acta Psychiatrica Scandinavica,2.506
JACC: Basic to Translational Science,2.496
Current Opinion in Microbiology,2.495
Molecular Cancer Therapeutics,2.493
Gastric Cancer,2.489
European Child and Adolescent Psychiatry,2.488
Biomedical Technology,2.478
British Journal of Psychiatry,2.471
American Journal of Health Economics,2.47
MedComm,2.469
Nature Reviews Urology,2.466
British Journal of Dermatology,2.459
Clinical Child and Family Psychology Review,2.455
Translational Psychiatry,2.453
BMJ Global Health,2.451
Haematologica,2.449
Thorax,2.448
Reviews in Endocrine and Metabolic Disorders,2.446
Journal of the National Cancer Center,2.441
American Journal of Transplantation,2.439
European Stroke Journal,2.433
Immuno-Oncology and Technology,2.43
Journal of Health Economics,2.43
Adolescent Research Review,2.424
Psychological Medicine,2.424
Current Opinion in Psychiatry,2.411
JCO Precision Oncology,2.409
Pediatrics,2.406
Neurology,2.401
Modern Pathology,2.4
Bioresource Technology,2.395
International Journal of Behavioral Nutrition and Physical Activity,2.394
European Journal of Nuclear Medicine and Molecular Imaging,2.392
Circulation: Cardiovascular Quality and Outcomes,2.38
Journal of Occupational Health Psychology,2.38
Clinical Journal of the American Society of Nephrology,2.377
Epilepsia,2.371
Current Psychiatry Reports,2.37
Diabetes and Metabolism Journal,2.365
British Journal of Anaesthesia,2.36
Journal of Heart and Lung Transplantation,2.359
Addiction,2.357
Diabetes,2.355
Breast,2.348
Meta-Radiology,2.347
JCO Oncology Practice,2.346
American Journal of Gastroenterology,2.344
Epidemiology and Psychiatric Sciences,2.334
Eurosurveillance,2.331
Osteoarthritis and Cartilage,2.331
Oncologist,2.329
Trends in Cardiovascular Medicine,2.311
Tobacco Control,2.305
European Heart Journal Cardiovascular Imaging,2.299
Acta Pharmacologica Sinica,2.297
ImmunoTargets and Therapy,2.291
BioDrugs,2.29
JAMA Ophthalmology,2.288
Criminology,2.287
Blood Reviews,2.283
Journal of Nanobiotechnology,2.282
Journal of Autoimmunity,2.281
Annual Review of Vision Science,2.271
Emerging Microbes and Infections,2.264
American Journal of Sports Medicine,2.26
Journal of Behavioral Addictions,2.26
Cell Reports Methods,2.257
British Journal of Clinical Psychology,2.256
International Journal of Cancer,2.252
"Diabetes, Obesity and Metabolism",2.251
JNCI Cancer Spectrum,2.236
npj Vaccines,2.236
Apoptosis,2.233
Journal of Consulting and Clinical Psychology,2.231
Journal of Nuclear Medicine,2.224
Conservation Biology,2.222
International Journal of Consumer Studies,2.22
Arthroscopy - Journal of Arthroscopic and Related Surgery,2.219
Journal of Urology,2.213
Clinical Nutrition,2.212
Environmental Pollution,2.205
Breast Cancer Research,2.202
Critical Reviews in Food Science and Nutrition,2.2
Child Development,2.195
Transplantation and Cellular Therapy,2.195
Journal of the American Heart Association,2.189
Journal of Clinical Endocrinology and Metabolism,2.183
"Scandinavian Journal of Work, Environment and Health",2.178
npj Genomic Medicine,2.178
Journal of Anxiety Disorders,2.171
Current Opinion in Behavioral Sciences,2.164
Current Diabetes Reports,2.163
Journal of Cardiac Failure,2.16
Journal of Pathology,2.16
Journal of the European Academy of Dermatology and Venereology,2.154
Ultrasound in Obstetrics and Gynecology,2.149
Human Reproduction,2.147
Alzheimer's and Dementia: Translational Research and Clinical Interventions,2.146
Amyloid : the international journal of experimental and clinical investigation : the official journal of the International Society of Amyloidosis,2.146
Environmental Research Letters,2.144
Aging and Disease,2.143
Schizophrenia Bulletin,2.138
Systematic Reviews,2.137
Journal of Gastroenterology,2.136
Bone and Joint Journal,2.131
Clinical Pharmacology and Therapeutics,2.127
